date,comments
2021-01-11,"Rusia es una potencia. No puede permitir que su imagen se caiga. Si sus vacunas presentaran problemas, perderian legitimidad. Putin no es un imbecil, no arriesgaria a que su imagen se vea afectada, se aseguraron de que la vacuna funcionara antes de exportarla. Su reputación esta en juego."
2021-01-11,hágase vacunar toda su familia si lo ve bien
2021-01-11,"Si, lo voy a hacer. El problema es que las vacunas, igual que los barbijos, solo funcionan si todos lo usan."
2021-01-11,el Gobierno dijo la vacuna es voluntario así q si no lo quieres no desinformes
2021-01-11,todos los países socialistas sea caracterizado po ocultar información..
2021-01-11,"Demuestren con documentos científicos, no con discursos políticos. El país merece saber la verdad."
2021-01-11,además los mismos rusos rechazaron usarla en su país
2021-01-11,"Puede investigar un poco no creo que quiera que manden un informe a su casa o si ? La información está allí así como en las plataformas de información de la OMS , solo nesecita imbestigar 😒"
2021-01-11,Carajo gente de mrd con. Nada está conforme solo quiere causar arena si no quieren vacunarse nadie los obliga pueden irse a la mrd👀
2021-01-11,ya van más de 1 millón de vacunados de donde sacas fuentes que no la usan?
2021-01-11,un ridículo como tu pidiendo documentos....tan desinformado estás.....
2021-01-11,si quieres la tomas...sino te las arrglas como puedes...personalmente no cuestiono a la sputmik...pero no me vacunare ni con la vacuna yanki....mi cuerpo debe adaptarse y generar sus defensas...asi lo supere en agosto asintomatico
2021-01-11,sino quieres no te hagas vacunar y punto. No desinformes a la población.
2021-01-11,que más documento que la masiva VACUNACIÓN CON EL SPUTNIK V Y SIN NINGUNA OBJECION NI RIESGO PARA LAS PERSONAS
2021-01-11,"exacto y luego los que no se vacunen, que no vayan a pedir ayuda al gobierno"
2021-01-11, peor es nada amigo y libre la vacunacion
2021-01-11," tendrían que traerlo al científico de la actriz Añez para que pueda corroborar la efectividad de la vacuna, Pero es como dejarlo a Drácula que cuide un banco de sangre"
2021-01-11, el suyo es un discurso poliTico. Usted desconfia de la ciencia Rusa? O pedimos a todos los medicamentos pruebas?
2021-01-11,La vacuna Sputnik V suma controversias: un líder cercano a Putin adelantó que no la usaría y un país africano la administrará solo en etapa experimental
2021-01-11,La vacuna Sputnik V suma controversias: un líder cercano a Putin adelantó que no la usaría y un país africano la administrará solo en etapa experimental
2021-01-11,La vacuna Sputnik V suma controversias: un líder cercano a Putin adelantó que no la usaría y un país africano la administrará solo en etapa experimental
2021-01-11, la vacuna es voluntaria cual es el problema
2021-01-11," bro si no te convence no te vacunes, espera al año para acceder a las otras vacunas"
2021-01-11, 🤣🤣🤣eres un ridiculo 😎mono masista
2021-01-11,cómo te guste no...x algo será...jijj
2021-01-11,....... cuando ATB dijo la verdad??
2021-01-11,"en clinicaltrials.gov estan todos los estudios de las vacunas, gratis!!"
2021-01-11,no se vacune y listo deje de fregar ...
2021-01-11,contrataremos a mostajo y compañía quizás nos hacen llegar números y se lo cargan con la plata son muy buenos científicos
2021-01-11,"Claro, sino es pura propaganda barata!!"
2021-01-11,Solo la verdad los hara libres
2021-01-11,Proyecto Immanuel - Doctor Stefan Lanka - Anuncio
2021-01-11,Proyecto Immanuel - Doctor Stefan Lanka - Anuncio
2021-01-11,Proyecto Immanuel - Doctor Stefan Lanka - Anuncio
2021-01-11,Primero las pruebas cientificas de la existencia del virus
2021-01-11,Huele a monopolio socialista anti imperialista.
2021-01-11,"dios no quiera, pero el día que te dé ese virus, vamos a ver si estás en posición de andar criticando las vacunas"
2021-01-11,"si alguien tiene valor por su vida, no se va someter a esta vacuna 💉 que es ratas de laboratorio... Tan solo ponte a revisar en el internet si existe una vacuna garantizada creada en 6 meses, una sola vacuna?!!!"
2021-01-11, hablas por todas las personas?? Si no tuviste el virus mejor ni comente señora
2021-01-11,"vos seguro tomabas el dióxido de cloro pensando que si te ayudaba contra el covid 😂, la desesperación te lleva a meterte lo que sea no. ? 😂."
